,F1 score,accuracy score,model,time,features
0,1.0,1.0,Logistic Regression,0.01567864418029785,59
1,1.0,1.0,Decision Tree,0.005134105682373047,59
2,1.0,1.0,Random Forest,0.04659008979797363,59
3,1.0,1.0,K-Nearest Neighbors,0.18292498588562012,59
4,1.0,1.0,SVM,1.1530640125274658,59
0,1.0,1.0,Logistic Regression,0.016772985458374023,60
1,1.0,1.0,Decision Tree,0.005023956298828125,60
2,1.0,1.0,Random Forest,0.04823803901672363,60
3,1.0,1.0,K-Nearest Neighbors,0.19066429138183594,60
4,1.0,1.0,SVM,1.3655712604522705,60
0,1.0,1.0,Logistic Regression,0.016050338745117188,61
1,1.0,1.0,Decision Tree,0.005395650863647461,61
2,1.0,1.0,Random Forest,0.04577016830444336,61
3,1.0,1.0,K-Nearest Neighbors,0.1849689483642578,61
4,1.0,1.0,SVM,1.1036956310272217,61
0,1.0,1.0,Logistic Regression,0.015674114227294922,62
1,1.0,1.0,Decision Tree,0.005072832107543945,62
2,1.0,1.0,Random Forest,0.0462489128112793,62
3,1.0,1.0,K-Nearest Neighbors,0.1947178840637207,62
4,1.0,1.0,SVM,1.2236852645874023,62
0,1.0,1.0,Logistic Regression,0.014616012573242188,63
1,1.0,1.0,Decision Tree,0.005511283874511719,63
2,1.0,1.0,Random Forest,0.049916982650756836,63
3,1.0,1.0,K-Nearest Neighbors,0.2039961814880371,63
4,1.0,1.0,SVM,1.3424859046936035,63
0,1.0,1.0,Logistic Regression,0.014222860336303711,64
1,1.0,1.0,Decision Tree,0.0051670074462890625,64
2,1.0,1.0,Random Forest,0.10939478874206543,64
3,1.0,1.0,K-Nearest Neighbors,0.3755929470062256,64
4,1.0,1.0,SVM,1.8438539505004883,64
0,1.0,1.0,Logistic Regression,0.015040397644042969,65
1,1.0,1.0,Decision Tree,0.005164623260498047,65
2,1.0,1.0,Random Forest,0.05261826515197754,65
3,1.0,1.0,K-Nearest Neighbors,0.24857187271118164,65
4,1.0,1.0,SVM,1.4547271728515625,65
0,1.0,1.0,Logistic Regression,0.014381885528564453,66
1,1.0,1.0,Decision Tree,0.0053980350494384766,66
2,1.0,1.0,Random Forest,0.052850961685180664,66
3,1.0,1.0,K-Nearest Neighbors,0.29289889335632324,66
4,1.0,1.0,SVM,1.5911500453948975,66
0,1.0,1.0,Logistic Regression,0.01610088348388672,67
1,1.0,1.0,Decision Tree,0.005419015884399414,67
2,1.0,1.0,Random Forest,0.0471949577331543,67
3,1.0,1.0,K-Nearest Neighbors,0.20906996726989746,67
4,1.0,1.0,SVM,2.0143158435821533,67
0,1.0,1.0,Logistic Regression,0.0166780948638916,68
1,1.0,1.0,Decision Tree,0.005382061004638672,68
2,1.0,1.0,Random Forest,0.04979205131530762,68
3,1.0,1.0,K-Nearest Neighbors,0.21795225143432617,68
4,1.0,1.0,SVM,1.6754000186920166,68
0,1.0,1.0,Logistic Regression,0.016389846801757812,69
1,1.0,1.0,Decision Tree,0.0054819583892822266,69
2,1.0,1.0,Random Forest,0.04718494415283203,69
3,1.0,1.0,K-Nearest Neighbors,0.23303508758544922,69
4,1.0,1.0,SVM,1.5933129787445068,69
0,1.0,1.0,Logistic Regression,0.023463964462280273,70
1,1.0,1.0,Decision Tree,0.006443023681640625,70
2,1.0,1.0,Random Forest,0.06481409072875977,70
3,1.0,1.0,K-Nearest Neighbors,0.2576019763946533,70
4,1.0,1.0,SVM,1.7032263278961182,70
0,1.0,1.0,Logistic Regression,0.019566059112548828,71
1,1.0,1.0,Decision Tree,0.005497932434082031,71
2,1.0,1.0,Random Forest,0.05554795265197754,71
3,1.0,1.0,K-Nearest Neighbors,0.2643852233886719,71
4,1.0,1.0,SVM,1.5607030391693115,71
0,1.0,1.0,Logistic Regression,0.017300128936767578,72
1,1.0,1.0,Decision Tree,0.005486965179443359,72
2,1.0,1.0,Random Forest,0.04738211631774902,72
3,1.0,1.0,K-Nearest Neighbors,0.21530723571777344,72
4,1.0,1.0,SVM,1.4780778884887695,72
0,1.0,1.0,Logistic Regression,0.016273975372314453,73
1,1.0,1.0,Decision Tree,0.005884885787963867,73
2,1.0,1.0,Random Forest,0.04630398750305176,73
3,1.0,1.0,K-Nearest Neighbors,0.2259066104888916,73
4,1.0,1.0,SVM,1.5148935317993164,73
0,1.0,1.0,Logistic Regression,0.016584157943725586,74
1,1.0,1.0,Decision Tree,0.005970954895019531,74
